State,Fish Type,Average Consumption (tons),Preferred Size (cm),Price Range (INR per kg),Seasonal Availability
Rajasthan,Sea Bass,18.09,12.61,346.22 - 465.36,Seasonal
Rajasthan,Sea Bass,19.42,23.35,346.71 - 431.88,Seasonal
Rajasthan,Sea Bass,13.3,18.98,329.26 - 410.48,Year-round
Rajasthan,Red Mullet,11.51,35.45,308.98 - 438.37,Year-round
Rajasthan,Red Mullet,14.02,20.18,363.38 - 417.49,Seasonal
Rajasthan,Red Mullet,10.93,11.54,320.56 - 437.94,Seasonal
Rajasthan,Red Mullet,13.75,23.93,385.76 - 483.79,Year-round
Rajasthan,Red Mullet,16.24,26.37,261.22 - 340.41,Seasonal
Rajasthan,Red Mullet,5.4,21.41,231.84 - 334.97,Seasonal
Rajasthan,Horse Mackerel,19.36,22.81,342.53 - 482.33,Seasonal
Rajasthan,Horse Mackerel,13.03,28.55,404.2 - 520.87,Year-round
Rajasthan,Horse Mackerel,8.09,10.03,211.78 - 359.51,Year-round
Rajasthan,Horse Mackerel,10.0,21.63,241.51 - 365.33,Seasonal
Rajasthan,Horse Mackerel,15.92,28.01,419.38 - 546.35,Seasonal
Rajasthan,Horse Mackerel,11.27,19.28,481.02 - 582.59,Year-round
Rajasthan,Black Sea Sprat,18.46,13.58,298.35 - 429.93,Seasonal
Rajasthan,Black Sea Sprat,9.89,15.75,366.65 - 475.04,Seasonal
Rajasthan,Black Sea Sprat,18.04,12.64,433.04 - 567.79,Year-round
Rajasthan,Black Sea Sprat,9.11,34.83,421.96 - 550.86,Year-round
Rajasthan,Black Sea Sprat,14.53,15.89,263.52 - 317.67,Year-round
Rajasthan,Black Sea Sprat,17.55,31.13,478.58 - 602.45,Year-round
Rajasthan,Striped Red Mullet,19.3,31.58,479.05 - 581.81,Seasonal
Rajasthan,Striped Red Mullet,12.98,34.65,230.41 - 359.6,Year-round
Rajasthan,Striped Red Mullet,12.99,26.93,380.17 - 446.8,Seasonal
Rajasthan,Striped Red Mullet,15.68,36.95,374.81 - 437.22,Seasonal
Rajasthan,Striped Red Mullet,16.43,27.75,257.61 - 374.28,Year-round
Rajasthan,Striped Red Mullet,5.37,17.46,322.37 - 400.33,Seasonal
Rajasthan,Trout,12.79,15.93,441.55 - 510.13,Year-round
Rajasthan,Trout,10.78,25.2,456.8 - 581.8,Seasonal
Rajasthan,Trout,13.37,20.41,479.86 - 622.12,Year-round
Rajasthan,Trout,9.32,31.74,450.92 - 587.17,Seasonal
Rajasthan,Trout,10.04,37.62,203.6 - 308.88,Seasonal
Rajasthan,Trout,5.95,19.74,401.83 - 485.55,Seasonal
Rajasthan,Shrimp,14.21,17.1,345.05 - 437.96,Seasonal
Rajasthan,Shrimp,16.25,23.7,453.7 - 515.12,Seasonal
Rajasthan,Shrimp,12.57,33.06,218.58 - 326.26,Year-round
Rajasthan,Shrimp,16.88,22.07,327.49 - 415.77,Year-round
Rajasthan,Shrimp,5.68,23.14,453.2 - 529.44,Year-round
Rajasthan,Shrimp,10.9,28.5,458.24 - 542.86,Seasonal
Sikkim,Gilt Head Bream,9.99,19.47,231.99 - 318.67,Seasonal
Sikkim,Gilt Head Bream,11.06,39.8,460.57 - 567.03,Year-round
Sikkim,Gilt Head Bream,14.01,31.03,285.56 - 398.64,Year-round
Sikkim,Gilt Head Bream,9.35,16.04,279.56 - 346.54,Seasonal
Sikkim,Gilt Head Bream,18.87,11.69,345.69 - 486.97,Year-round
Sikkim,Gilt Head Bream,7.47,11.92,295.22 - 367.25,Seasonal
Sikkim,Red Sea Bream,13.39,25.44,229.87 - 281.48,Seasonal
Sikkim,Red Sea Bream,12.99,35.82,408.48 - 459.53,Year-round
Sikkim,Red Sea Bream,18.99,27.27,237.83 - 346.01,Seasonal
Sikkim,Red Sea Bream,17.03,14.82,361.2 - 430.4,Seasonal
Sikkim,Red Sea Bream,14.35,13.94,292.91 - 363.09,Year-round
Sikkim,Red Sea Bream,15.05,22.07,289.4 - 401.95,Seasonal
Sikkim,Sea Bass,16.35,24.22,267.74 - 379.4,Year-round
Sikkim,Sea Bass,19.93,23.51,275.76 - 370.04,Year-round
Sikkim,Sea Bass,8.14,13.91,261.06 - 387.97,Seasonal
Sikkim,Sea Bass,17.58,34.26,295.37 - 346.25,Seasonal
Sikkim,Sea Bass,17.25,36.56,226.01 - 329.85,Seasonal
Sikkim,Sea Bass,14.52,28.64,236.22 - 383.92,Seasonal
Sikkim,Red Mullet,16.27,38.24,402.99 - 489.33,Seasonal
Sikkim,Red Mullet,11.43,28.86,264.55 - 377.29,Year-round
Sikkim,Red Mullet,18.94,16.14,439.4 - 563.25,Year-round
Sikkim,Red Mullet,10.99,17.27,261.05 - 406.5,Year-round
Sikkim,Red Mullet,14.64,31.53,492.99 - 580.71,Seasonal
Sikkim,Red Mullet,14.43,29.21,455.15 - 579.24,Seasonal
Sikkim,Horse Mackerel,8.28,19.79,426.86 - 516.23,Year-round
Sikkim,Horse Mackerel,7.0,17.28,287.51 - 429.94,Seasonal
Sikkim,Horse Mackerel,9.5,24.23,250.41 - 335.89,Seasonal
Sikkim,Horse Mackerel,19.31,35.97,373.16 - 490.57,Seasonal
Sikkim,Horse Mackerel,13.97,29.94,325.8 - 445.91,Year-round
Sikkim,Horse Mackerel,13.78,17.69,480.19 - 543.3,Seasonal
Sikkim,Black Sea Sprat,5.58,21.05,493.71 - 585.78,Seasonal
Sikkim,Black Sea Sprat,17.85,24.01,307.92 - 411.53,Year-round
Sikkim,Black Sea Sprat,17.97,23.71,342.53 - 431.14,Seasonal
Sikkim,Black Sea Sprat,16.35,30.67,459.09 - 608.77,Seasonal
Sikkim,Black Sea Sprat,6.03,26.49,325.15 - 462.92,Year-round
Sikkim,Black Sea Sprat,8.31,14.75,218.66 - 350.93,Seasonal
Sikkim,Striped Red Mullet,12.69,18.73,340.82 - 476.61,Seasonal
Sikkim,Striped Red Mullet,14.23,15.27,353.96 - 475.5,Year-round
Sikkim,Striped Red Mullet,12.07,16.82,249.86 - 333.13,Seasonal
Sikkim,Striped Red Mullet,17.31,10.21,337.02 - 419.94,Year-round
Sikkim,Striped Red Mullet,18.37,23.81,412.9 - 561.27,Year-round
Sikkim,Striped Red Mullet,12.82,13.74,488.42 - 602.02,Seasonal
Sikkim,Trout,5.59,10.66,432.35 - 495.79,Year-round
Sikkim,Trout,11.22,38.07,337.12 - 416.14,Seasonal
Sikkim,Trout,5.16,32.86,467.99 - 561.28,Year-round
Sikkim,Trout,19.8,17.53,352.9 - 493.78,Year-round
Sikkim,Trout,10.04,28.45,478.07 - 624.28,Year-round
Sikkim,Trout,5.76,26.42,467.13 - 543.4,Year-round
Sikkim,Shrimp,13.7,18.48,283.7 - 374.2,Year-round
Sikkim,Shrimp,13.81,34.62,317.68 - 412.44,Year-round
Sikkim,Shrimp,11.59,25.31,277.64 - 359.28,Year-round
Sikkim,Shrimp,18.05,24.17,413.86 - 503.16,Year-round
Sikkim,Shrimp,13.56,37.29,201.86 - 332.92,Year-round
Sikkim,Shrimp,15.2,27.11,383.06 - 527.3,Year-round
Tamil Nadu,Gilt Head Bream,5.21,17.73,334.98 - 454.27,Year-round
Tamil Nadu,Gilt Head Bream,8.2,36.02,486.75 - 560.42,Year-round
Tamil Nadu,Gilt Head Bream,11.08,15.07,493.24 - 628.57,Seasonal
Tamil Nadu,Gilt Head Bream,17.68,11.77,281.5 - 341.87,Year-round
Tamil Nadu,Gilt Head Bream,12.73,39.71,383.4 - 470.5,Seasonal
Tamil Nadu,Gilt Head Bream,17.26,10.41,468.72 - 521.61,Year-round
Tamil Nadu,Red Sea Bream,16.73,24.53,438.2 - 545.85,Year-round
Tamil Nadu,Red Sea Bream,10.07,31.16,256.25 - 381.31,Seasonal
Tamil Nadu,Red Sea Bream,8.91,10.27,394.49 - 495.6,Seasonal
Tamil Nadu,Red Sea Bream,17.67,12.39,412.09 - 527.52,Year-round
Tamil Nadu,Red Sea Bream,13.54,36.04,374.93 - 496.73,Year-round
Tamil Nadu,Red Sea Bream,10.83,13.94,278.75 - 386.87,Year-round
Tamil Nadu,Sea Bass,8.66,39.0,487.44 - 562.2,Seasonal
Tamil Nadu,Sea Bass,15.35,35.12,296.9 - 435.8,Seasonal
Tamil Nadu,Sea Bass,12.89,30.63,282.04 - 405.69,Seasonal
Tamil Nadu,Sea Bass,6.6,34.65,241.69 - 366.42,Year-round
Tamil Nadu,Sea Bass,12.37,19.62,257.68 - 338.62,Seasonal
Tamil Nadu,Sea Bass,12.71,33.38,356.75 - 470.85,Year-round
Tamil Nadu,Red Mullet,8.62,30.44,414.8 - 525.53,Year-round
Tamil Nadu,Red Mullet,12.44,10.23,347.63 - 496.28,Year-round
Tamil Nadu,Red Mullet,8.16,35.25,209.11 - 343.49,Seasonal
Tamil Nadu,Red Mullet,9.65,38.13,403.14 - 465.05,Year-round
Tamil Nadu,Red Mullet,7.99,20.43,386.07 - 490.55,Seasonal
Tamil Nadu,Red Mullet,6.34,31.46,281.34 - 407.38,Seasonal
Tamil Nadu,Horse Mackerel,15.56,16.52,310.0 - 399.1,Seasonal
Tamil Nadu,Horse Mackerel,18.07,22.55,333.32 - 413.65,Seasonal
Tamil Nadu,Horse Mackerel,9.75,18.0,351.78 - 479.55,Seasonal
Tamil Nadu,Horse Mackerel,16.2,10.38,393.35 - 461.63,Year-round
Tamil Nadu,Horse Mackerel,5.91,31.05,202.95 - 293.87,Seasonal
Tamil Nadu,Horse Mackerel,7.64,35.99,333.26 - 396.96,Year-round
Tamil Nadu,Black Sea Sprat,9.41,23.39,418.11 - 537.4,Year-round
Tamil Nadu,Black Sea Sprat,5.79,13.13,370.69 - 473.84,Seasonal
Tamil Nadu,Black Sea Sprat,7.35,32.55,370.48 - 447.95,Year-round
Tamil Nadu,Black Sea Sprat,8.91,25.55,416.66 - 484.08,Seasonal
Tamil Nadu,Black Sea Sprat,14.48,25.56,215.35 - 288.64,Year-round
Tamil Nadu,Black Sea Sprat,9.45,37.89,237.38 - 352.63,Seasonal
Tamil Nadu,Striped Red Mullet,8.87,23.92,239.99 - 382.76,Year-round
Tamil Nadu,Striped Red Mullet,7.45,19.12,386.33 - 466.51,Seasonal
Tamil Nadu,Striped Red Mullet,16.52,13.42,393.17 - 526.6,Year-round
Tamil Nadu,Striped Red Mullet,16.47,17.97,442.03 - 517.21,Seasonal
Tamil Nadu,Striped Red Mullet,14.58,12.44,330.5 - 409.77,Seasonal
Tamil Nadu,Striped Red Mullet,8.98,22.96,499.71 - 571.75,Seasonal
Tamil Nadu,Trout,6.56,14.37,463.14 - 565.96,Year-round
Tamil Nadu,Trout,9.01,37.32,330.7 - 393.61,Seasonal
Tamil Nadu,Trout,14.39,12.26,233.72 - 288.65,Seasonal
Tamil Nadu,Trout,11.67,36.98,240.06 - 328.73,Seasonal
Tamil Nadu,Trout,14.16,35.05,413.11 - 474.36,Year-round
Tamil Nadu,Trout,18.99,35.75,251.18 - 344.86,Seasonal
Tamil Nadu,Shrimp,8.95,18.37,479.2 - 531.67,Seasonal
Tamil Nadu,Shrimp,6.12,16.69,322.37 - 407.15,Seasonal
Tamil Nadu,Shrimp,5.98,34.66,393.89 - 508.63,Year-round
Tamil Nadu,Shrimp,13.09,17.65,430.36 - 555.54,Seasonal
Tamil Nadu,Shrimp,5.6,20.87,447.92 - 568.07,Seasonal
Tamil Nadu,Shrimp,17.38,35.75,339.09 - 467.51,Year-round
Telangana,Gilt Head Bream,14.62,19.35,357.6 - 414.2,Seasonal
Telangana,Gilt Head Bream,18.71,39.43,398.54 - 530.23,Year-round
Telangana,Gilt Head Bream,14.93,31.46,280.44 - 362.01,Seasonal
Telangana,Gilt Head Bream,15.0,13.08,203.58 - 267.54,Year-round
Telangana,Gilt Head Bream,18.36,23.47,337.79 - 395.49,Seasonal
Telangana,Gilt Head Bream,16.05,25.03,371.83 - 435.55,Year-round
Telangana,Red Sea Bream,18.16,17.3,365.17 - 434.42,Year-round
Telangana,Red Sea Bream,8.81,28.93,207.5 - 329.57,Seasonal
Telangana,Red Sea Bream,17.66,23.14,302.72 - 407.37,Year-round
Telangana,Red Sea Bream,15.26,32.59,418.24 - 555.2,Year-round
Telangana,Red Sea Bream,7.76,11.71,376.34 - 510.37,Seasonal
Telangana,Red Sea Bream,12.88,13.28,260.86 - 410.69,Year-round
Telangana,Sea Bass,10.24,27.89,282.26 - 334.92,Year-round
Telangana,Sea Bass,8.91,35.15,414.69 - 533.38,Seasonal
Telangana,Sea Bass,8.09,20.57,237.83 - 300.82,Year-round
Telangana,Sea Bass,16.39,28.59,223.22 - 324.51,Year-round
Telangana,Sea Bass,6.58,34.39,373.63 - 485.46,Seasonal
Telangana,Sea Bass,6.06,29.81,442.76 - 560.04,Seasonal
Telangana,Red Mullet,17.76,18.58,392.13 - 473.55,Year-round
Telangana,Red Mullet,5.5,38.62,262.98 - 391.87,Year-round
Telangana,Red Mullet,7.64,17.06,348.31 - 489.79,Year-round
Telangana,Red Mullet,5.22,37.63,492.83 - 565.05,Seasonal
Telangana,Red Mullet,7.2,29.38,269.86 - 335.54,Year-round
Telangana,Red Mullet,10.26,34.98,348.02 - 489.19,Year-round
Telangana,Horse Mackerel,11.08,39.52,287.67 - 367.16,Seasonal
Telangana,Horse Mackerel,5.83,34.99,337.34 - 413.24,Year-round
Telangana,Horse Mackerel,18.44,13.1,396.97 - 537.67,Year-round
Telangana,Horse Mackerel,8.35,26.37,405.19 - 474.22,Year-round
Telangana,Horse Mackerel,9.52,15.65,291.12 - 350.42,Year-round
Telangana,Horse Mackerel,13.62,25.44,353.98 - 414.7,Year-round
Telangana,Black Sea Sprat,6.95,29.3,259.15 - 318.92,Seasonal
Telangana,Black Sea Sprat,6.3,17.11,249.48 - 311.94,Seasonal
Telangana,Black Sea Sprat,13.06,30.31,404.8 - 517.67,Year-round
Telangana,Black Sea Sprat,6.54,15.17,329.3 - 430.35,Year-round
Telangana,Black Sea Sprat,17.49,39.75,249.08 - 368.26,Seasonal
Telangana,Black Sea Sprat,12.01,30.57,267.88 - 331.06,Year-round
Telangana,Striped Red Mullet,16.98,13.21,434.21 - 575.23,Seasonal
Telangana,Striped Red Mullet,11.73,24.68,265.32 - 323.15,Year-round
Telangana,Striped Red Mullet,16.43,38.09,482.23 - 549.7,Year-round
Telangana,Striped Red Mullet,8.59,28.72,342.22 - 479.79,Seasonal
Telangana,Striped Red Mullet,18.68,29.0,416.32 - 492.03,Seasonal
Telangana,Striped Red Mullet,16.87,30.42,289.87 - 385.64,Year-round
Telangana,Trout,17.35,17.05,395.68 - 486.2,Seasonal
Telangana,Trout,7.61,11.39,373.88 - 515.14,Seasonal
Telangana,Trout,17.3,39.98,263.43 - 339.95,Seasonal
Telangana,Trout,15.18,17.1,225.19 - 352.19,Year-round
Telangana,Trout,7.04,39.32,489.31 - 555.68,Seasonal
Telangana,Trout,12.83,16.4,434.52 - 504.89,Year-round
Telangana,Shrimp,6.33,20.27,494.42 - 607.38,Year-round
Telangana,Shrimp,15.63,37.18,241.32 - 296.76,Seasonal
Telangana,Shrimp,6.05,11.7,236.11 - 344.19,Seasonal
Telangana,Shrimp,8.66,19.18,344.94 - 401.26,Seasonal
Telangana,Shrimp,15.98,15.22,308.36 - 422.1,Year-round
Telangana,Shrimp,6.92,27.47,289.96 - 343.4,Year-round
Tripura,Gilt Head Bream,17.24,22.96,438.92 - 548.46,Seasonal
Tripura,Gilt Head Bream,17.2,31.45,274.64 - 415.66,Seasonal
Tripura,Gilt Head Bream,7.16,12.81,205.0 - 342.35,Year-round
Tripura,Gilt Head Bream,11.75,20.36,251.83 - 364.03,Seasonal
Tripura,Gilt Head Bream,7.44,38.79,455.47 - 591.85,Year-round
Tripura,Gilt Head Bream,10.15,10.57,406.94 - 551.49,Seasonal
Tripura,Red Sea Bream,13.8,23.66,355.4 - 406.15,Year-round
Tripura,Red Sea Bream,16.2,14.37,463.39 - 540.31,Seasonal
Tripura,Red Sea Bream,17.2,27.65,263.23 - 336.9,Seasonal
Tripura,Red Sea Bream,6.04,27.35,379.29 - 503.18,Seasonal
Tripura,Red Sea Bream,15.04,23.44,346.37 - 416.8,Seasonal
Tripura,Red Sea Bream,18.68,31.06,352.22 - 446.37,Year-round
Tripura,Sea Bass,13.49,37.5,440.25 - 535.36,Seasonal
Tripura,Sea Bass,13.91,31.58,385.62 - 443.79,Seasonal
Tripura,Sea Bass,8.69,37.45,300.62 - 445.85,Year-round
Tripura,Sea Bass,19.02,29.11,469.6 - 565.25,Seasonal
Tripura,Sea Bass,6.49,28.69,334.06 - 461.86,Year-round
Tripura,Sea Bass,5.76,24.05,455.94 - 599.3,Seasonal
Tripura,Red Mullet,11.28,25.52,225.26 - 373.72,Seasonal
Tripura,Red Mullet,10.38,28.93,414.47 - 507.45,Year-round
Tripura,Red Mullet,7.62,29.44,273.64 - 395.39,Year-round
Tripura,Red Mullet,19.59,10.15,323.8 - 383.85,Year-round
Tripura,Red Mullet,9.96,17.45,496.4 - 585.34,Seasonal
Tripura,Red Mullet,19.94,34.02,453.69 - 567.22,Year-round
Tripura,Horse Mackerel,11.17,17.03,205.9 - 343.83,Seasonal
Tripura,Horse Mackerel,15.54,18.98,280.66 - 430.45,Year-round
Tripura,Horse Mackerel,17.38,14.4,247.9 - 376.91,Year-round
Tripura,Horse Mackerel,5.47,13.65,389.93 - 529.83,Seasonal
Tripura,Horse Mackerel,16.55,34.33,320.11 - 464.82,Seasonal
Tripura,Horse Mackerel,12.8,11.11,224.2 - 341.44,Year-round
Tripura,Black Sea Sprat,6.31,38.09,447.66 - 576.79,Seasonal
Tripura,Black Sea Sprat,13.13,39.05,244.36 - 388.44,Year-round
Tripura,Black Sea Sprat,5.75,14.5,361.27 - 468.85,Seasonal
Tripura,Black Sea Sprat,10.99,39.49,360.94 - 461.2,Year-round
Tripura,Black Sea Sprat,5.21,27.01,479.68 - 596.27,Year-round
Tripura,Black Sea Sprat,10.13,38.6,470.96 - 592.33,Year-round
Tripura,Striped Red Mullet,6.08,30.53,350.97 - 477.48,Seasonal
Tripura,Striped Red Mullet,9.85,34.58,360.96 - 496.95,Year-round
Tripura,Striped Red Mullet,14.2,14.72,488.7 - 590.54,Year-round
Tripura,Striped Red Mullet,13.77,17.99,209.4 - 271.35,Seasonal
Tripura,Striped Red Mullet,19.68,25.06,336.49 - 461.83,Seasonal
Tripura,Striped Red Mullet,12.81,30.08,444.5 - 520.57,Year-round
Tripura,Trout,17.8,35.68,229.77 - 288.84,Seasonal
Tripura,Trout,6.19,23.43,230.57 - 282.16,Seasonal
Tripura,Trout,14.35,20.68,436.67 - 510.04,Year-round
Tripura,Trout,9.11,19.6,428.95 - 559.17,Seasonal
Tripura,Trout,18.0,27.81,238.13 - 330.89,Seasonal
Tripura,Trout,6.75,23.6,455.95 - 564.08,Year-round
Tripura,Shrimp,17.22,38.08,354.06 - 499.08,Seasonal
Tripura,Shrimp,12.94,27.53,439.06 - 523.16,Seasonal
Tripura,Shrimp,12.35,35.4,449.58 - 539.93,Year-round
Tripura,Shrimp,19.02,31.78,475.33 - 616.17,Seasonal
Tripura,Shrimp,12.3,20.02,232.05 - 305.93,Year-round
Tripura,Shrimp,6.59,33.35,251.16 - 345.9,Year-round
Uttar Pradesh,Gilt Head Bream,5.53,19.69,363.23 - 468.4,Seasonal
Uttar Pradesh,Gilt Head Bream,9.48,30.17,298.63 - 376.44,Seasonal
Uttar Pradesh,Gilt Head Bream,8.65,23.73,427.86 - 498.45,Seasonal
Uttar Pradesh,Gilt Head Bream,14.96,17.13,346.78 - 425.39,Year-round
Uttar Pradesh,Gilt Head Bream,13.46,16.15,422.6 - 477.83,Seasonal
Uttar Pradesh,Gilt Head Bream,17.27,30.5,255.07 - 387.16,Year-round
Uttar Pradesh,Red Sea Bream,9.79,37.18,237.99 - 305.84,Seasonal
Uttar Pradesh,Red Sea Bream,8.52,13.71,237.11 - 345.43,Year-round
Uttar Pradesh,Red Sea Bream,10.64,37.7,363.45 - 440.42,Seasonal
Uttar Pradesh,Red Sea Bream,12.4,23.61,211.41 - 334.28,Seasonal
Uttar Pradesh,Red Sea Bream,5.78,13.41,201.18 - 351.12,Year-round
Uttar Pradesh,Red Sea Bream,17.98,28.09,418.26 - 479.78,Year-round
Uttar Pradesh,Sea Bass,9.27,21.28,426.89 - 530.86,Seasonal
Uttar Pradesh,Sea Bass,9.7,28.62,391.51 - 511.44,Seasonal
Uttar Pradesh,Sea Bass,14.56,34.05,339.91 - 426.08,Year-round
Uttar Pradesh,Sea Bass,16.11,13.54,426.96 - 486.49,Seasonal
Uttar Pradesh,Sea Bass,12.31,28.75,483.86 - 591.83,Seasonal
Uttar Pradesh,Sea Bass,7.6,31.74,351.61 - 469.6,Year-round
Uttar Pradesh,Red Mullet,16.15,31.7,240.82 - 374.42,Seasonal
Uttar Pradesh,Red Mullet,18.85,10.48,418.98 - 557.85,Seasonal
Uttar Pradesh,Red Mullet,12.33,22.22,495.97 - 551.56,Seasonal
Uttar Pradesh,Red Mullet,9.54,23.8,283.8 - 370.74,Year-round
Uttar Pradesh,Red Mullet,12.68,25.81,368.48 - 435.56,Year-round
Uttar Pradesh,Red Mullet,9.97,31.69,352.33 - 452.24,Seasonal
Uttar Pradesh,Horse Mackerel,19.55,10.66,440.81 - 569.61,Year-round
Uttar Pradesh,Horse Mackerel,6.35,17.7,227.75 - 287.85,Seasonal
Uttar Pradesh,Horse Mackerel,16.74,38.12,407.58 - 473.16,Year-round
Uttar Pradesh,Horse Mackerel,18.81,12.81,486.52 - 597.61,Year-round
Uttar Pradesh,Horse Mackerel,11.04,37.6,395.08 - 454.12,Year-round
Uttar Pradesh,Horse Mackerel,18.9,24.51,294.67 - 423.56,Seasonal
Uttar Pradesh,Black Sea Sprat,12.45,13.7,320.29 - 405.36,Year-round
Uttar Pradesh,Black Sea Sprat,6.57,18.04,356.06 - 462.63,Seasonal
Uttar Pradesh,Black Sea Sprat,7.27,33.95,412.17 - 481.21,Seasonal
Uttar Pradesh,Black Sea Sprat,10.69,11.42,252.93 - 398.52,Seasonal
Uttar Pradesh,Black Sea Sprat,16.71,21.71,373.57 - 514.7,Year-round
Uttar Pradesh,Black Sea Sprat,12.52,21.51,491.62 - 557.54,Seasonal
Uttar Pradesh,Striped Red Mullet,14.76,36.0,468.19 - 610.17,Seasonal
Uttar Pradesh,Striped Red Mullet,8.32,31.88,350.09 - 441.6,Year-round
Uttar Pradesh,Striped Red Mullet,7.5,33.92,416.03 - 474.65,Year-round
Uttar Pradesh,Striped Red Mullet,18.38,18.61,298.32 - 359.88,Seasonal
Uttar Pradesh,Striped Red Mullet,13.25,28.59,399.05 - 532.68,Year-round
Uttar Pradesh,Striped Red Mullet,18.24,24.19,355.91 - 424.96,Seasonal
Uttar Pradesh,Trout,17.64,25.03,494.43 - 554.16,Seasonal
Uttar Pradesh,Trout,18.49,38.23,401.26 - 517.7,Year-round
Uttar Pradesh,Trout,13.24,27.73,395.82 - 471.39,Seasonal
Uttar Pradesh,Trout,14.1,35.48,362.36 - 492.75,Seasonal
Uttar Pradesh,Trout,16.43,31.41,262.25 - 369.13,Year-round
Uttar Pradesh,Trout,6.54,26.06,225.54 - 305.84,Year-round
Uttar Pradesh,Shrimp,10.84,38.55,295.92 - 432.73,Year-round
Uttar Pradesh,Shrimp,9.41,30.16,410.65 - 497.82,Seasonal
Uttar Pradesh,Shrimp,16.74,23.28,345.58 - 473.37,Seasonal
Uttar Pradesh,Shrimp,13.48,25.12,204.05 - 290.34,Year-round
Uttar Pradesh,Shrimp,17.13,20.85,357.28 - 474.35,Seasonal
Uttar Pradesh,Shrimp,9.75,20.27,258.34 - 364.53,Seasonal
Uttarakhand,Gilt Head Bream,14.72,10.88,385.43 - 486.38,Year-round
Uttarakhand,Gilt Head Bream,6.15,22.79,332.7 - 449.57,Year-round
Uttarakhand,Gilt Head Bream,11.13,24.0,215.81 - 269.57,Year-round
Uttarakhand,Gilt Head Bream,10.8,18.02,326.45 - 385.89,Seasonal
Uttarakhand,Gilt Head Bream,7.52,15.7,338.21 - 416.84,Seasonal
Uttarakhand,Gilt Head Bream,6.58,30.16,390.63 - 521.2,Seasonal
Uttarakhand,Red Sea Bream,6.1,18.21,494.0 - 603.63,Year-round
Uttarakhand,Red Sea Bream,19.99,15.26,203.03 - 267.92,Year-round
Uttarakhand,Red Sea Bream,18.81,39.05,362.17 - 457.99,Year-round
Uttarakhand,Red Sea Bream,9.67,16.27,454.54 - 595.15,Seasonal
Uttarakhand,Red Sea Bream,12.05,23.66,374.64 - 460.32,Year-round
Uttarakhand,Red Sea Bream,12.55,11.8,474.78 - 586.33,Year-round
Uttarakhand,Sea Bass,19.03,37.37,262.8 - 316.75,Year-round
Uttarakhand,Sea Bass,13.72,38.43,216.11 - 276.73,Year-round
Uttarakhand,Sea Bass,12.95,10.84,274.0 - 369.96,Seasonal
Uttarakhand,Sea Bass,12.63,39.75,279.83 - 413.15,Seasonal
Uttarakhand,Sea Bass,6.32,22.41,425.05 - 544.39,Seasonal
Uttarakhand,Sea Bass,11.64,26.84,454.71 - 549.08,Seasonal
Uttarakhand,Red Mullet,17.85,30.53,464.73 - 535.08,Seasonal
Uttarakhand,Red Mullet,19.4,29.81,356.81 - 409.17,Seasonal
Uttarakhand,Red Mullet,12.68,38.22,214.33 - 299.56,Seasonal
Uttarakhand,Red Mullet,7.84,13.77,293.3 - 431.89,Seasonal
Uttarakhand,Red Mullet,18.73,32.86,351.53 - 500.37,Year-round
Uttarakhand,Red Mullet,7.06,20.09,376.02 - 436.31,Year-round
Uttarakhand,Horse Mackerel,19.21,33.01,280.49 - 389.57,Seasonal
Uttarakhand,Horse Mackerel,16.02,17.56,347.24 - 404.8,Seasonal
Uttarakhand,Horse Mackerel,13.43,26.58,234.42 - 297.04,Seasonal
Uttarakhand,Horse Mackerel,15.62,31.41,275.72 - 391.4,Seasonal
Uttarakhand,Horse Mackerel,13.93,26.18,490.64 - 589.07,Year-round
Uttarakhand,Horse Mackerel,9.32,28.12,214.88 - 274.35,Seasonal
Uttarakhand,Black Sea Sprat,9.8,37.2,257.37 - 368.92,Year-round
Uttarakhand,Black Sea Sprat,8.46,30.56,494.57 - 613.68,Seasonal
Uttarakhand,Black Sea Sprat,19.23,18.04,443.44 - 498.98,Seasonal
Uttarakhand,Black Sea Sprat,10.35,17.84,483.98 - 606.61,Seasonal
Uttarakhand,Black Sea Sprat,17.36,29.43,490.68 - 612.08,Seasonal
Uttarakhand,Black Sea Sprat,16.31,28.66,362.02 - 486.99,Seasonal
Uttarakhand,Striped Red Mullet,13.89,24.47,386.77 - 437.78,Seasonal
Uttarakhand,Striped Red Mullet,6.69,18.06,347.72 - 481.39,Seasonal
Uttarakhand,Striped Red Mullet,15.72,28.11,289.68 - 380.76,Year-round
Uttarakhand,Striped Red Mullet,10.83,23.31,467.39 - 558.53,Year-round
Uttarakhand,Striped Red Mullet,8.33,33.41,260.35 - 318.36,Seasonal
Uttarakhand,Striped Red Mullet,17.62,11.08,397.52 - 476.2,Seasonal
Uttarakhand,Trout,18.73,35.64,404.95 - 460.19,Seasonal
Uttarakhand,Trout,18.11,10.91,227.26 - 362.73,Seasonal
Uttarakhand,Trout,17.68,31.81,494.23 - 559.8,Year-round
Uttarakhand,Trout,14.41,24.15,487.94 - 605.55,Year-round
Uttarakhand,Trout,19.98,10.74,450.57 - 537.11,Year-round
Uttarakhand,Trout,17.88,16.98,234.65 - 317.26,Seasonal
Uttarakhand,Shrimp,6.13,17.51,400.79 - 539.62,Year-round
Uttarakhand,Shrimp,15.72,28.7,491.17 - 597.06,Year-round
Uttarakhand,Shrimp,9.03,24.84,225.83 - 331.75,Year-round
Uttarakhand,Shrimp,8.61,32.31,425.08 - 506.81,Year-round
